,Title,Review,Rating
0,The Invisible Man,"A bracingly modern #MeToo allegory that, despite its brutal craft, rings hollow.",rotten
1,The Invisible Man,"A smart, unexpected delight.",fresh
2,The Invisible Man,"Whannell uses stillness and empty spaces against the audience expertly. But it's Moss who most sells this new, self-consciously serious take on a hammy monster movie premise.",fresh
3,The Invisible Man,"While chock full of relatively good scares, campy effects and an ending that will tickle a very specific demographic of 1990s and 2000s thriller fans with glee, The Invisible Man doesn't deliver more than that.",rotten
4,The Invisible Man,"In this heart-stopping update, the 'Gotcha!' moments really do surprise.",fresh
5,The Invisible Man,There's some cruelty in this visual; there are moments when The Invisible Man is not fun to watch. But the movie's violence opens up a larger question...,fresh
6,The Invisible Man,"The Invisible Man is horror filmmaking of the finest kind ... a smart, self-aware work that is both frightening and provocative, an of-the-moment work of art that exquisitely updates a genre classic.",fresh
7,The Invisible Man,"It's hard to imagine a film that feels more of the moment than The Invisible Man. Smart and scary in equal measure, it sets the new gold standard for remaking classic horror properties.",fresh
8,The Invisible Man,Whannell and Moss team up for a memorable if imperfect frightener that recasts HG Wells' story as a harrowing domestic violence horror.,fresh
9,The Invisible Man,"Filmmaker Alex Garland kills it once again with ""Devs,"" a dramatic thriller, that returns to the ideas of A.I., only now developed to quantum proportions.",fresh
10,The Invisible Man,"We've seen the man who makes himself invisible, but it turns out seeing the one in view of the man who can't be seen is compelling for an entirely different reason.",fresh
11,The Invisible Man,"It's essentially silly stuff, and overextended, but Moss is great and there are several good flourishes. At his most devilish, the indiscernible psycho is worth seeing.",fresh
12,Sonic the Hedgehog,"Sure, there's enough here to divert small people for a while, but their parents would do well to bring a blindfold and ear plugs.",rotten
13,Sonic the Hedgehog,The world contains many terrible video game movies. This isn't one of them.,fresh
14,Sonic the Hedgehog,"The simple storyline finds a way to adapt the games' characters and themes, by adding universal concepts such as friendship to the original games' tension between nature and machines.",fresh
15,Sonic the Hedgehog,"Affectionate, charming, and genial.",fresh
16,Sonic the Hedgehog,I was just thrilled to be reminded of everything Jim Carrey can do when he lets himself riff.,fresh
17,Sonic the Hedgehog,"Whatever else it may achieve, Sonic the Hedgehog is unlikely to elevate the based-on-a-videogame category above the dismal level where it has wallowed for the past quarter-century.",rotten
18,Sonic the Hedgehog,"The movie's bright visuals and snappy rapport between Marsden and Schwartz keep things silly and alive, never taking itself too seriously but rarely being too light to be outright dismissed.",fresh
19,Sonic the Hedgehog,"This live-action film has a chance of keeping children briefly entertained with its skilfully engineered set pieces, but it's trite and sugary, and Jim Carrey can't redeem it.",rotten
20,Sonic the Hedgehog,"The property is better off as a videogame where if the character gets too bothersome with its antics, one can simply put a stop with the push of a button.",rotten
21,Sonic the Hedgehog,"It's a nice little nugget, nice little soft family joint.",fresh
22,Sonic the Hedgehog,Jim Carrey is honestly the best thing about Sonic the Hedgehog - we need a Robotnick spin off next,fresh
23,Sonic the Hedgehog,"Sonic the Hedgehog isn't a game-changer for the genre, but it's an entertaining shot in the arm which is better than it probably should have been.",fresh
24,The Call of the Wild,"There is little here, amid the high-tech photorealistic animations, that would satisfy London's concept of ""wild.""",rotten
25,The Call of the Wild,"Harrison Ford does quietly powerful work as author Jack London's hero, but his computer-generated co-star looks weird.",rotten
26,The Call of the Wild,"If you squint your eyes and blur out the effects (it's not only Buck - all the dogs, squirrels, wolves and bears are computer-generated) you are left with a fantastically muscular tale from the Logan co-screenwriter Michael Green.",fresh
27,The Call of the Wild,"Ach, it's easier to go with the flow, even if the script, inspired by Jack London's 1903 novel, is flagrantly sappy and frequently ridiculous.",rotten
28,The Call of the Wild,"It occupies a very uncomfortable middle ground in terms of the ideal audience that it's for... It's got some thrilling moments, but it has way too many cheesy moments.",rotten
29,The Call of the Wild,"The Call of the Wild proves that you can teach an old dog new tricks. Thanks to a cute puppy and charming characters, Jack London's classic novel, which has translated poorly to the big screen thus far, finally comes to life here.",fresh
30,The Call of the Wild,"Faulty CGI make s for bland ""Wild.""",rotten
31,The Call of the Wild,It's extremely easy to split the film into its bad part and its good part.,rotten
32,The Call of the Wild,"This take on Jack London's tale isn't entirely faithful to nature... But this adds to the fun of the hokey, action-packed children's entertainment, and there is nothing too fake about Harrison Ford's turn as a grey-bearded loner.",fresh
33,The Call of the Wild,"This story requires the involvement of a real dog to stir up all the proper emotions, but the filmmakers are more interested in having their canine lead perform amazing feats. If Superman is looking for Krypto, he can find him hiding out in this picture.",rotten
34,The Call of the Wild,"Rather than technology for technology's sake, the animation in the Harrison Ford-led movie about a dog rediscovering his true nature is profoundly deliberate...",fresh
35,The Call of the Wild,"With Ford's gnarled presence grounding the narrative, animation vet Chris Sanders takes full advantage of his photo-realistic CGI lead...[it] sustains the whiff of nature while actually learning a few new tricks.",fresh
36,My Hero Academia: Heroes Rising,"This new movie delivers more of what the anime has to offer fans, and very little else.",fresh
37,My Hero Academia: Heroes Rising,"""My Hero Academia: Rising Heroes"" delivers the selfless feats of daring-do, slapstick comedy, friendship and over-the-top battles fans love and expect.",fresh
38,My Hero Academia: Heroes Rising,"A popular manga series gets a worthy film installment with ""My Hero Academia: Heroes Rising,"" an exhilarating animation that frames heroism as an act of community.",fresh
39,My Hero Academia: Heroes Rising,"The panoply of powers begin to seem interchangeable, the character arcs dim.",rotten
40,My Hero Academia: Heroes Rising,"Yeah, you can pick up on (more or less) what's happening within a few minutes. But I can't say it's really worth it.",rotten
41,My Hero Academia: Heroes Rising,It's extremely well animated.,fresh
42,My Hero Academia: Heroes Rising,My Hero Academia: Heroes Rising fails to have the resounding and impressive impact that My Hero Academia: Two Heroes is still capable of providing.,fresh
43,My Hero Academia: Heroes Rising,"My Hero Academia: Heroes Rising is a splendid display of heart, character, and heroism, a film capitalizing on years of storytelling that's stunningly animated with tons of care and attention to detail.",fresh
44,My Hero Academia: Heroes Rising,"While I confess that there are probably any numbers of subtleties that I inevitably overlooked while watching it that the fanbase will seize upon, that did not prevent me from having a reasonably good time watching it nevertheless.",fresh
45,My Hero Academia: Heroes Rising,My Hero Academia: Heroes Rising is an anime that gives you the feeling of shonen anime OVAs from the golden age of 80s and 90s anime.,fresh
46,My Hero Academia: Heroes Rising,Imaginative but violent anime adventure has some swearing,fresh
47,My Hero Academia: Heroes Rising,"On a primal level, it is still an absolute blast to watch these characters come into their own as heroes and unleash their powers in glorious, bonkers action time and time again.",fresh
48,Bad Boys for Life,The plot is daft - Mexicans are out for Mike's blood - but it's knowingly daft and even minor characters manage to shine. Not bad. Not bad at all.,fresh
49,Bad Boys for Life,"""Bad Boys for Life"" is a mostly expendable entry into the ""Bad Boys"" franchise, the Will Smith and Martin Lawrence buddy cop series...",rotten
50,Bad Boys for Life,"Newcomers Bilall Fallah and Adil el Arbi have given the duo relatable character traits, an aspect that's been missing in the series, but their outing has horsepower to spare too.",fresh
51,Bad Boys for Life,I would pound Red Bull and watch it with you again.,fresh
52,Bad Boys for Life,[A] triumph.,fresh
53,Bad Boys for Life,"Did anybody ask for this? No, but perhaps we should have.",fresh
54,Bad Boys for Life,"The second one is still my favorite in the franchise, but this one is good fun.",fresh
55,Bad Boys for Life,What never changes is the bulletproof friendship between the two. [Full Review in Spanish],fresh
56,Bad Boys for Life,Bad Boys for Life is mostly fun and entertaining. We probably shouldn't ask more of it than that.,fresh
57,Bad Boys for Life,[The film's] chemistry still works. [Full review in Spanish],fresh
58,Bad Boys for Life,A disappointingly underwhelming sequel...,rotten
59,Bad Boys for Life,Bad Boys: For Life is a silly and entertaining movie that recreates the lost spirit of what action films used to be in the nineties. [Full review in Spanish],fresh
60,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Although ""Birds of Prey"" suffers from an identity issue... the fantabulous highs far outweigh the middling lows...",fresh
61,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),I'm ready for the sequel.,fresh
62,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"""Birds of Prey"" isn't just female-fronted, it's actually diverse... Even if the story is rather thin, you'll want to keep coming back to it, if only because it might just have one of 2020's best movie moments.",fresh
63,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Bursting with feminine fury and more than a few great moments, Birds of Prey, whilst lacking on story, is a fun romp that allows Harley Quinn a platform to shine again.",fresh
64,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Instead of focusing on the toxic masculinity of male superheroes, Birds of Prey allows women to be in the spotlight without the shackle a male presence.",fresh
65,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"starts off with great gusto and energy, literally willing us to get onboard with its maniacal take comic book antiheroism before becoming something decidedly more conventional-and even a bit sentimental",fresh
66,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"An extremely rough, clunky script hinders what should have been a much better movie, though the movie is fun enough to overcome some of the needless hurdles.",fresh
67,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),Birds of Prey is a sizable improvement over Suicide Squad but lacks a foolproof plan.,rotten
68,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"An improvement over Suicide Squad in every respect, and this time the ending is the best part and not the worst",fresh
69,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Action-cinema cheesecake that makes one Harley Quinn, played by one Margot Robbie with all the colorfully explosive force of fireworks shoved up an exhaust pipe, the star of her own show.",fresh
70,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"The various threads, however, don't come together as seamlessly as you'd hope; a better script and more focused direction would have significantly helped.",rotten
71,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),Better than Suicide Squad...but not that much better.,rotten
72,Impractical Jokers: The Movie,"An undistinguished and unnecessary extension of a brand whose primary attributes are likability, authenticity and relative modesty.",rotten
73,Impractical Jokers: The Movie,"Impractical Jokers: The Movie never provides any good reason for its pranks to be packaged in a movie, but it does speak to the fruitfulness of its concept.",rotten
74,Impractical Jokers: The Movie,"""Impractical Jokers: The Movie"" is so thinly plotted that it makes screenwriting look like one of the group's impromptu challenges.",rotten
75,Impractical Jokers: The Movie,"Fans of these four likeable doofuses... should enjoy the ride, though why somebody would get off the couch and spend money to see it is anyone's guess.",fresh
76,Impractical Jokers: The Movie,"Ultimately, any movie that essentially starts with Paula Abdul (as Paula Abdul) clotheslining a guy and promising, ""One day I'm gonna find you and I will destroy you!"" - can't be all bad.",fresh
77,Impractical Jokers: The Movie,"If you pay money to go to a theater and see Impractical Jokers: The Movie, then guess what? The joke's on you.",rotten
78,Impractical Jokers: The Movie,There's no real justification for why this movie exists.,rotten
79,Impractical Jokers: The Movie,"If you're going to make a feature-length film version of a TV prank show, you need to go big or go home. The makers of Impractical Jokers: The Movie should have gone home, because they sure didn't go big.",rotten
80,Impractical Jokers: The Movie,"Johnny Knoxville and his crew from Jackass got their own trilogy, but reality pranksters Brian Quinn, Joe Gatto, James Murray and Sal Vulcano should probably stick to the small screen for the foreseeable future.",rotten
81,Impractical Jokers: The Movie,"In the end, you do walk out of the movie feeling like, ""I could just stay home and watch Impractical Jokers from home.""",rotten
82,Impractical Jokers: The Movie,"Ultimately, this cruel impractical joke is on all of us...is about as amusing as sitting on a whoppie cushion filled with chocolate filling.",rotten
83,Impractical Jokers: The Movie,"For their first big-screen foray, the jokers avoid extreme vulgar humor and manage to remain an oddly likable bunch, but the movie just isn't very funny for anyone who's not fond of practical jokes.",rotten
84,1917,"The film is thrilling, moving on effectively from one shocking set piece to another, studding the narrative too with starry cameos.",fresh
85,1917,"It's a tense, unnerving ride that accomplishes its goal of translating the first-person experience of war better than any war movies that have come before it. It's a level up.",fresh
86,1917,"From the sole perspective of the filmmaking craft, ""1917"" is worth a watch.",fresh
87,1917,"While Mendes didn't shrink from displaying the vivid imagination of a suburban horndog, he's unwilling to face the imagination of the valorous combatants of ""1917.""",rotten
88,1917,"War is much on the minds of people right now, and ""1917"" is a good reminder, flaws and all, of what that really entails.",fresh
89,1917,"MacKay and Chapman disappear into their roles, pulling us into the story.",fresh
90,1917,It is a brilliant appropriation of the pains and aches of war for the purpose of creating something that is pure cinema.,fresh
91,1917,"A cinematic experience on war, tension, and the boundaries of drama within a realistic setting of desperation. [Full review in Spanish].",fresh
92,1917,"Filmmaker Mendes, working from a script written with Krysty Wilson-Cairns, does a superb job of immediately drawing the viewer into the stylish proceedings...",fresh
93,1917,"An overwhelming accomplishment in filmmaking, 1917 might be more ""experience"" than ""film"" but oh, what an experience it is nonetheless.",fresh
94,1917,"It's hard to be immersive when you're constantly calling attention to yourself, and it's impossible when your camera is more the protagonist of your film than your characters.",rotten
95,1917,An experiment that worked.,fresh
96,Brahms: The Boy II,"There aren't that many minutes to mess up, but the film manages to make it feel much longer.",rotten
97,Brahms: The Boy II,"Takes the best elements from The Boy and reverses course so abruptly, it practically leaves skidmarks on the screen. It's not just a subpar sequel; it retroactively injures an otherwise superior film.",rotten
98,Brahms: The Boy II,"The Boy II ultimately could have gone weirder, further, and faster (even at a slim 86 minutes).",rotten
99,Brahms: The Boy II,"It's so punishingly dull to watch, filled with dry, perfunctory dialogue from Stacey Menear's consistently uninventive script and shot without even a glimmer of style, that even at a brisk 86 minutes, it feels like unending torture.",rotten
100,Brahms: The Boy II,"Like its predecessor, ""The Boy II"" is a fairly corny and stodgy spook-show, with a few good jolts and one genuinely creepy killer toy.",rotten
101,Brahms: The Boy II,A film that's as blank as Brahms' expression.,rotten
102,Brahms: The Boy II,"Watching Brahms: The Boy II, one gets the feeling that the picture was only made on a dare.",rotten
103,Brahms: The Boy II,"Quoth the other, more bewhiskered and musically inclined Brahms, ""The only true immortality lies in one's children."" Oh, Johannes, if only you knew.",rotten
104,Brahms: The Boy II,"Filled with lifeless characters, basic jump-scares, and very little else, this useless horror sequel betrays whatever good ideas the 2016 original had in a poor attempt to create a monster franchise.",rotten
105,Brahms: The Boy II,"Brahms: The Boy II is a colossal disappointment due to its severely dull screenplay and awful character development, weak scares, and its disregarding of the original.",rotten
106,Brahms: The Boy II,"Brahms: The Boy II simply doesn't work, an uninteresting and uninspired offering that is absent of scares. It's no lullaby, but it will still put you to sleep.",rotten
107,Brahms: The Boy II,Charges head first in to establishing a franchise without any real care toward building a terrifying horror villain of substance.,rotten
108,Fantasy Island,What's left is a generic exercise in studio horror with little to distinguish it beyond the proper nouns in which it wraps itself.,rotten
109,Fantasy Island,"By the time this ""Fantasy Island"" arrives at its gallingly stupid final twist, you'll be dying to go home.",rotten
110,Fantasy Island,"'This place doesn't suck,' someone observes early on. If only.",rotten
111,Fantasy Island,The biggest shock of this new movie re-imagination is that it makes the original seem fresh and smart by comparison.,rotten
112,Fantasy Island,"Contrived and loony, it feels like someone planted about a half-dozen different scripts all over this Fantasy Island.",rotten
113,Fantasy Island,"If crimes against cinema merited prosecution, Blumhouse's Fantasy Island would go directly to death row. The only scary thing about this wussified, fright-free horrorshow is that it wants to spawn sequels. Stop it before it kills again.",rotten
114,Fantasy Island,"What should have been a sun-soaked blockbuster succeeding solely on the basis of being 'dumb fun', leaves us seesawing between feeling shamelessly entertained and frustratingly ripped-off.",rotten
115,Fantasy Island,Fantasy Island is distinctly sub-par filmmaking full of clichés and lacking in real entertainment value. No one would call this their ultimate fantasy.,rotten
116,Fantasy Island,"The TV series was never subtle about its moral messages, but this film pushes everything over the top, straining to interconnect the strands, ramp up the brutality and lay on syrupy sentimentality.",rotten
117,Fantasy Island,Fantasy Island mostly just finds itself struggling with preposterous and convoluted set-ups before ultimately arriving at its nonsensical conclusion.,rotten
118,Fantasy Island,Blumhouse's Fantasy Island doesn't exactly possess a whole lot in the way of forward momentum...,rotten
119,Fantasy Island,Boss! De pain! De pain!,rotten
120,Jumanji: The Next Level,"All your favorite cast is back, although a very confusing script.",rotten
121,Jumanji: The Next Level,"It's packed with enough fun, witty moments to not be a waste of time, despite a few questionable story choices.",fresh
122,Jumanji: The Next Level,"Only in the second half, when it finds its feet and gets back into the groove of what did work in the first film, does it allow itself, and therefore us, to have a good time.",rotten
123,Jumanji: The Next Level,"It's silly, bombastic, and best viewed in theaters surrounded by others. Just roll your eyes at the Blaccent, and be glad that this time, thankfully, someone stopped Awkwafina.",fresh
124,Jumanji: The Next Level,A noble and genuine film. [Full Review in Spanish],fresh
125,Jumanji: The Next Level,"Still fun, but what happened to the game being broken? Jumanji: The Next Level excels with a star-filled and diverse cast with a complexity of approaches to their characters. Dwayne Johnson's ability to portray this was fantastic.",fresh
126,Jumanji: The Next Level,The fun and games come with seeing who becomes who. It's made even funnier this time around...,fresh
127,Jumanji: The Next Level,"It's not only funny but immersing. Jack Black, in particular, is a master of mannerisms.",fresh
128,Jumanji: The Next Level,Everything is balanced out with great action scenes and a group of actors who are pure charisma. [Full Review in Spanish],fresh
129,Jumanji: The Next Level,The same video game that bored us two years ago. [Full review in Spanish],rotten
130,Jumanji: The Next Level,"Lacks some of the charm of the first film and falls into several of the typical ""unexpected success that must now be sequelized"" traps but the cast carries the movie through its weak spots.",fresh
131,Jumanji: The Next Level,"A mildly entertaining diversion not as fun and surprising as the original, but the lively performances come to the rescue to invigorate the film.",fresh
132,Parasite (Gisaengchung),Bong delivers a stunning return to form with this newest venture.,fresh
133,Parasite (Gisaengchung),An imaginative comedy-thriller with darkness at its core.,fresh
134,Parasite (Gisaengchung),"If the movie is a Rorschach of who you identify as parasite and host, it's a test you're just as likely to fail; a filmgoing experience that refuses to fit into any box, and forces viewers to breathe the dangerous air outside of it too.",fresh
135,Parasite (Gisaengchung),"Let's just say that by ""Parasite's"" conclusion, what started out as a comedy of manners has become a furious snarl of rage and his most arresting social satire yet.",fresh
136,Parasite (Gisaengchung),"Even if its social message about culture and class (Alfred-Hitchcock-by-way-of-Karl-Marx) is laid on too thick in the end, this Parasite slithers most agreeably.",fresh
137,Parasite (Gisaengchung),"It isn't an easy ride, and as with life in the non-metaphorical world, the destination is uncertain. You'll see strange and wonderful things along the way.",fresh
138,Parasite (Gisaengchung),"Parasite surprised me over and over. I constantly had no idea what was going to happen next. But what did happen, was amazing and extremely well done.",fresh
139,Parasite (Gisaengchung),"When the history of this moment in world cinema is written, Parasite will take its place as the movie that got the moment right.",fresh
140,Parasite (Gisaengchung),"A monumental achievement in film and the rare film that goes from ""very good"" to ""historically great"" in its final act.",fresh
141,Parasite (Gisaengchung),"The smartest mainstream film about class made in many years, Bong Joon-ho's Parasite lays bare the lie that hard work can bring anyone closer to their dreams.",fresh
142,Parasite (Gisaengchung),"Never let the audience off the hook, Hitchcock once said. Ho achieves this in spades and with more than one hook.",fresh
143,Parasite (Gisaengchung),"[A] funny, inventive, scary film.",fresh
144,Emma.,"Emma is such a complete character that those around her often pale, but de Wilde's casting is downright vivacious.",fresh
145,Emma.,"It takes a while for ""Emma."" to find its groove but once it gets there it's a delight. The source material is too good to disappoint.",fresh
146,Emma.,The romantic tension builds nicely in a lush-looking new adaptation.,fresh
147,Emma.,"Love may or may not make the world go round, but Austen's trick - repeated here by de Wilde - is in making us believe, for a minute, that matters of the heart matter more than anything else on Earth.",fresh
148,Emma.,"Directed by Autumn de Wilde, the new ""Emma."" - note that whimsical period - begins disastrously before righting itself to an acceptable tilt.",fresh
149,Emma.,"The movie is fine, and so is its Emma, Anya Taylor-Joy, but the standout is Bill Nighy in the small role of the main character's hypochondriac father.",fresh
150,Emma.,Emma has had numerous iterations with more to come I'm sure but this version is well done and worthy of watching at least once.,fresh
151,Emma.,"Emma. combines the pop appeal of Clueless with the lavish production values of the most prestigious British dramas, and the result is a delightfully tart confection.",fresh
152,Emma.,An unalloyed delight,fresh
153,Emma.,"Emma. is a delightful romp in which nothing really bad is ever threatened, but the skilled director and cast make the vagaries of young love and social class thrilling.",fresh
154,Emma.,"The film's bright spot is Taylor-Joy ... She is charming and captivating; unfortunately, the same cannot be said for the film around her.",rotten
155,Emma.,De Wilde's debut is stylish and original.,fresh
156,The Gentlemen,"For all its energy and vulgarity, The Gentlemen is a slog, a tedious and unnecessarily unpleasant tour of ground that Ritchie's already covered.",rotten
157,The Gentlemen,"Telegraphing dialogue, Tarantino-speak tributes, and a third act plot logjam are tantamount to bringing ants to the picnic, but there's enough repellent on board so as not to bother or distract too much.",fresh
158,The Gentlemen,It's not that Ritchie's film doesn't have some zip... But the movie time and time again exalts the gallantry of its gentlemen heroes at the expense of those unlike them. It gives this glass of Gritchie's English Lore a bitter taste.,rotten
159,The Gentlemen,"The Gentleman marks a return to Ritchie's prima donna days (his literal pre-Madonna days), when his flair and flamboyant style was front and center.",fresh
160,The Gentlemen,"This crass, witless, and unpleasant attempt at comedy showcases Ritchie's lack of sense and taste. As two characters agree after looking at the bestiality video, ""You can't unsee it."" But one does not have to look at it in the first place.",rotten
161,The Gentlemen,There's a very self-aware element to [Matthew McConaughey's] performance and to this film -- for the better. This is a great return to form for Guy Ritchie.,fresh
162,The Gentlemen,"When the director indulges in the art of the visual, the film is most enjoyable. [Full Review in Spanish]",fresh
163,The Gentlemen,"Beside its premise and ensemble, the movie doesn't offer much. [Full Review in Spanish]",rotten
164,The Gentlemen,Guy Ritchie returns to the milieu of his first few movies with The Gentlemen...,fresh
165,The Gentlemen,"Ritchie has crucially contributed to a subgenre: the movie for gentlemen who read Esquire. If he reached its greatest height with The Man from U.N.C.L.E., The Gentlemen is content with not being off key. [Full Review in Spanish]",fresh
166,The Gentlemen,"That's not to say The Gentlemen is not enjoyable. It is rather entertaining, thanks to fun performances from Grant, Hunnam and Farrell.",fresh
167,The Gentlemen,You have a great time but... Without Tarantino I don't know if Ritchie would exist as we know him. [Full review in Spanish],fresh
168,The Photograph,Lakeith Stanfield and Issa Rae do wonderful work as people with an instant connection.,fresh
